Shop_Name,Location,Date,Product_Type,Brand,Quantity_Sold,Unit_Price,Payment_Mode,Customer_Age
Teja Wines – Yedugullapadu,Yedugullapadu,2025-12-28,Vodka,,2.0,150,UPI,23.0
Teja Wines – Kothapatnam,Kothapatnam,2025-07-14,Vodka,,3.0,220,Cash,62.0
Teja Wines – Ongole,Ongole,2025-11-16,Wine,Signature,10.0,120,,60.0
Teja Wines – Sitharampuram Koshtalu,Sitharampuram Koshtalu,2025-07-02,Brandy,Smirnoff,20.0,150,UPI,32.0
Teja Wines – SN Padu,SN Padu,2025-07-17,Beer,Kingfisher,20.0,1000,Cash,27.0
Teja Wines – Sitharampuram Koshtalu,Sitharampuram Koshtalu,2025-10-11,Vodka,Bacardi,,500,,42.0
Teja Wines – Ongole,Ongole,2025-08-17,Brandy,Bacardi,2.0,220,,29.0
Teja Wines – Ongole,Ongole,2025-09-04,Whisky,McDowell's,20.0,180,Card,20.0
Teja Wines – Yedugullapadu,Yedugullapadu,2025-07-14,Whisky,Royal Stag,1.0,300,Card,43.0
Teja Wines – Ongole,Ongole,2025-08-14,Vodka,Signature,20.0,300,Card,32.0
Teja Wines – Sitharampuram Koshtalu,Sitharampuram Koshtalu,2025-11-01,Beer,,3.0,90,Cash,27.0
Teja Wines – Kothapatnam,Kothapatnam,2025-07-29,Brandy,Kingfisher,4.0,220,Card,47.0
Teja Wines – Sitharampuram Koshtalu,Sitharampuram Koshtalu,2025-12-04,Brandy,Signature,4.0,750,,28.0
Teja Wines – SN Padu,SN Padu,2025-10-26,Beer,Royal Stag,2.0,500,UPI,57.0
Teja Wines – SN Padu,SN Padu,2025-10-24,Beer,Bacardi,,1000,UPI,38.0
Teja Wines – Kothapatnam,Kothapatnam,2025-10-15,Wine,,10.0,180,Cash,54.0
Teja Wines – Kothapatnam,Kothapatnam,2025-07-06,Wine,Bacardi,20.0,220,UPI,25.0
Teja Wines – Yedugullapadu,Yedugullapadu,2025-12-06,Brandy,Kingfisher,5.0,750,UPI,63.0
Teja Wines – Kothapatnam,Kothapatnam,2025-08-03,Brandy,Bacardi,2.0,300,UPI,18.0
Teja Wines – Kothapatnam,Kothapatnam,2025-11-07,Wine,Royal Stag,1.0,300,Cash,35.0
Teja Wines – SN Padu,SN Padu,2025-12-06,Rum,Smirnoff,2.0,500,UPI,57.0
Teja Wines – Kothapatnam,Kothapatnam,2025-07-11,Rum,Royal Stag,2.0,220,Cash,31.0
Teja Wines – Yedugullapadu,Yedugullapadu,2025-09-19,Rum,McDowell's,,300,,55.0
Teja Wines – Kothapatnam,Kothapatnam,2025-12-03,Beer,Smirnoff,10.0,500,Card,49.0
Teja Wines – Yedugullapadu,Yedugullapadu,2025-08-09,Rum,Kingfisher,4.0,120,Card,27.0
Teja Wines – Kothapatnam,Kothapatnam,2025-11-15,Brandy,Kingfisher,,180,UPI,48.0
Teja Wines – Sitharampuram Koshtalu,Sitharampuram Koshtalu,2025-10-16,Brandy,Smirnoff,3.0,1000,Card,36.0
Teja Wines – Yedugullapadu,Yedugullapadu,2025-11-17,Rum,Smirnoff,1.0,500,,33.0
Teja Wines – SN Padu,SN Padu,2025-09-04,Beer,Signature,2.0,90,UPI,44.0
Teja Wines – Yedugullapadu,Yedugullapadu,2025-10-06,Rum,Signature,20.0,1000,Cash,40.0
Teja Wines – SN Padu,SN Padu,2025-07-19,Brandy,Signature,10.0,90,UPI,54.0
Teja Wines – Kothapatnam,Kothapatnam,2025-10-26,Whisky,Signature,20.0,300,UPI,26.0
Teja Wines – Ongole,Ongole,2025-08-13,Brandy,Signature,3.0,150,Cash,64.0
Teja Wines – Ongole,Ongole,2025-07-22,Beer,Smirnoff,1.0,500,Card,34.0
Teja Wines – Yedugullapadu,Yedugullapadu,2025-07-18,Vodka,,2.0,220,Cash,52.0
Teja Wines – Kothapatnam,Kothapatnam,2025-12-09,Wine,Royal Stag,3.0,90,Card,34.0
Teja Wines – Sitharampuram Koshtalu,Sitharampuram Koshtalu,2025-09-21,Wine,Signature,10.0,120,,62.0
Teja Wines – SN Padu,SN Padu,2025-07-23,Brandy,,4.0,90,,35.0
Teja Wines – Kothapatnam,Kothapatnam,2025-12-27,Rum,Bacardi,3.0,150,UPI,28.0
Teja Wines – Sitharampuram Koshtalu,Sitharampuram Koshtalu,2025-12-16,Whisky,Bacardi,,90,,22.0
Teja Wines – Ongole,Ongole,2025-12-17,Whisky,McDowell's,120.0,180,UPI,39.0
Teja Wines – Kothapatnam,Kothapatnam,2025-10-25,Whisky,Kingfisher,3.0,180,UPI,63.0
Teja Wines – Yedugullapadu,Yedugullapadu,2025-10-25,Beer,Smirnoff,5.0,220,Cash,18.0
Teja Wines – Kothapatnam,Kothapatnam,2025-07-30,Rum,,20.0,300,Card,45.0
Teja Wines – SN Padu,SN Padu,2025-10-23,Beer,Kingfisher,10.0,90,Cash,27.0
Teja Wines – Yedugullapadu,Yedugullapadu,2025-11-04,Brandy,Kingfisher,4.0,120,Card,26.0
Teja Wines – Yedugullapadu,Yedugullapadu,2025-11-20,Vodka,McDowell's,,120,Cash,30.0
